artiId;artiNombre;fechaIni;fuenId;fuenNombre;futiId;maximoKg;minimoKg;promedioKg
30;Cebolla junca Aquitania;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2500;2500;2500
354;Chocolate amargo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;22680;22500;22590
82;Mandarina Arrayana;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2800;2600;2717
348;Azúcar sulfitada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2300;2300;2300
65;Chócolo mazorca;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1286;1143;1226
4;Cilantro;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;3750;3500;3583
121;Mango manzano;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2000;2067
341;Manteca;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4900;4080;4490
126;Manzana roja importada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6316;6053;6140
93;Banano criollo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1278;1222;1269
315;Corvina, filete congelado nacional;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;36000;34000;35000
128;Manzana verde importada;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;6842;6579;6754
100;Curuba;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2200;2200;2200
133;Maracuyá;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4300;3700;4000
352;Café instantáneo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;93007;87516;90436
213;Fríjol calima;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;4640;4504;4584
271;Carne de cerdo, brazo sin hueso;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;15000;13000;14333
274;Carne de cerdo, costilla;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;14000;14000;14000
41;Fríjol verde en vaina;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;2800;2400;2600
366;Mayonesa doy pack;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17105;16360;16670
275;Carne de cerdo, espinazo;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;10000;10000;10000
277;Carne de cerdo, lomo sin hueso;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;17000;16000;16333
360;Galletas saladas;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;10347;10000;10231
361;Gelatina;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;23255;21250;22561
86;Naranja Valencia;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;1300;1280;1287
279;Carne de cerdo, pernil sin hueso;2020-02-08T00:00:00-05:00;52;Buenaventura (Valle del Cauca);52;15000;14000;14667
