Fecha;Grupo;Producto;Mercado;Precio  por kilogramo
feb-20;FRUTAS;Manzana verde importada;Buenaventura (Valle del Cauca); 6,732 
feb-20;FRUTAS;Maracuyá;Buenaventura (Valle del Cauca); 3,838 
feb-20;FRUTAS;Mora de Castilla;Buenaventura (Valle del Cauca); 3,871 
feb-20;FRUTAS;Naranja Valencia;Buenaventura (Valle del Cauca); 1,288 
feb-20;FRUTAS;Papaya Maradol;Buenaventura (Valle del Cauca); 2,383 
feb-20;FRUTAS;Pera importada;Buenaventura (Valle del Cauca); 6,212 
feb-20;FRUTAS;Piña gold;Buenaventura (Valle del Cauca); 2,075 
feb-20;FRUTAS;Tomate de árbol;Buenaventura (Valle del Cauca); 1,917 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Arracacha amarilla;Buenaventura (Valle del Cauca); 2,523 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Papa Betina;Buenaventura (Valle del Cauca); 602 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Papa capira;Buenaventura (Valle del Cauca); 763 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Papa suprema;Buenaventura (Valle del Cauca); 706 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Papa única;Buenaventura (Valle del Cauca); 649 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Ulluco;Buenaventura (Valle del Cauca); 2,640 
feb-20;TUBERCULOS, RAICES Y PLATANOS;Yuca chirosa;Buenaventura (Valle del Cauca); 1,315 
feb-20;GRANOS Y CEREALES;Arroz de primera;Buenaventura (Valle del Cauca); 3,433 
feb-20;GRANOS Y CEREALES;Arveja verde seca importada;Buenaventura (Valle del Cauca); 1,903 
feb-20;GRANOS Y CEREALES;Fríjol calima;Buenaventura (Valle del Cauca); 4,546 
feb-20;GRANOS Y CEREALES;Lenteja importada;Buenaventura (Valle del Cauca); 2,197 
feb-20;LACTEOS Y HUEVOS;Huevo blanco A;Buenaventura (Valle del Cauca); 348 
feb-20;LACTEOS Y HUEVOS;Leche en polvo;Buenaventura (Valle del Cauca); 24,703 
feb-20;LACTEOS Y HUEVOS;Queso costeño;Buenaventura (Valle del Cauca); 16,644 
feb-20;LACTEOS Y HUEVOS;Queso cuajada;Buenaventura (Valle del Cauca); 10,800 
feb-20;LACTEOS Y HUEVOS;Queso doble crema;Buenaventura (Valle del Cauca); 12,667 
feb-20;CARNES;Alas de pollo con costillar;Buenaventura (Valle del Cauca); 5,375 
feb-20;CARNES;Carne de cerdo, brazo sin hueso;Buenaventura (Valle del Cauca); 14,500 
feb-20;CARNES;Carne de cerdo, costilla;Buenaventura (Valle del Cauca); 14,500 
feb-20;CARNES;Carne de cerdo, espinazo;Buenaventura (Valle del Cauca); 10,000 
feb-20;CARNES;Carne de cerdo, lomo sin hueso;Buenaventura (Valle del Cauca); 16,467 
feb-20;CARNES;Carne de cerdo, pernil sin hueso;Buenaventura (Valle del Cauca); 14,500 
feb-20;CARNES;Carne de cerdo, tocino papada;Buenaventura (Valle del Cauca); 8,000 
feb-20;CARNES;Carne de res, bola de brazo;Buenaventura (Valle del Cauca); 17,317 
feb-20;CARNES;Carne de res, bola de pierna;Buenaventura (Valle del Cauca); 16,833 
feb-20;CARNES;Carne de res, cadera;Buenaventura (Valle del Cauca); 17,500 
feb-20;CARNES;Carne de res, costilla;Buenaventura (Valle del Cauca); 10,867 
